C0274714,Adrenergic syndrome
C0019557,Hip Fractures
C0030318,Panic
C0030319,Panic Disorder
C0575090,Equilibration disorder
C0030312,Pancytopenia
C0751295,Memory Loss
C1257843,Pseudomembranous colitis
C0011206,Delirium
C0021167,Incontinence
C0233754,Derealization
C0340238,Infectious disorder of bronchus
C0854082,Blood prolactin increased
C0024440,"Macular Edema, Cystoid"
C0020701,Hysteria
C0000727,"Abdomen, Acute"
C0262405,Brain dysfunction
C0000729,Abdominal Cramps
C0522172,Feeling drunk
C0024282,Lymphocytosis
C0231837,Respiratory rate decreased
C0005758,Bulla
C0235939,Crying abnormal
C0349410,Organ failure
C0019158,Hepatitis
C0854303,Limb discomfort
C0549250,Jaw stiffness
C0549253,Bladder dilatation
C0549259,Anxiety aggravated
C0019156,Hepatic Veno-Occlusive Disease
C0042256,Vaginal itching
C0743300,Urine drug screen positive
C0041296,Tuberculosis
C0002962,Angina Pectoris
C0027531,Neck Injuries
C0002965,"Angina, Unstable"
C0033575,Prostatic Diseases
C0276141,Bronchitis viral
C0549336,Asthma aggravated
C0015695,Fatty Liver
C0043037,Common wart
C0728936,Unspecified circulatory system disorder
C0037320,Night Terrors
C0042035,Urination Disorders
C0154731,Glossopharyngeal Neuralgia
C0311468,Increased bilirubin level (finding)
C0262578,Night cramps
C0010038,Corneal Opacity
C0853714,Application site pruritus
C0853711,Sperm count decreased
C0259972,Ketogenic Diet
C1263960,Diabetes with coma (disorder)
C0015967,Fever
C0001418,Adenocarcinoma
C0236051,Tolerance development
C0558489,Renal pain
C0241863,Diabetic
C0497201,Abnormal sensation in eye
C0008728,Churg-Strauss Syndrome
C0033774,Pruritus
C0162848,Lichenoid Eruptions
C0852711,Sickle Cell Dactylitis
C0033771,Prurigo
C0042109,Urticaria
C0033778,Pruritus Vulvae
C0003813,Sinus Arrhythmia
C0003811,Cardiac Arrhythmia
C0153690,Bone cancer metastatic
C1306577,Death (finding)
C0018991,Hemiplegia
C0438717,Transaminases increased
C0017086,Gangrene
C0003486,Aortic Aneurysm
C0857980,Serum prolactin increased
C0240327,"Taste, Metallic"
C0040213,Tietze's Syndrome
C0521495,Application site rash
C0521490,Application site irritation
C0521491,Application site pain
C0001511,Tissue Adhesions
C0600139,Prostate carcinoma
C0206669,Hepatocellular Adenoma
C0234975,Convulsions aggravated
C0206063,Radiation Pneumonitis
C0206062,"Lung Diseases, Interstitial"
C0206061,"Pneumonia, Interstitial"
C0032227,Pleural effusion disorder
C0003962,Ascites
C1264613,Gastrointestinal infection
C0232807,Function kidney decreased
C2939420,Metastatic Neoplasm
C0037822,Speech Disorders
C0009760,Conjunctival haemorrhage
C0003708,Arachnoiditis
C1536459,Nettle rash
C0231230,Fatigability
C0235234,Dry throat
C0009450,Communicable Diseases
C0012833,Dizziness
C0428974,Supraventricular arrhythmia
C0852911,Blood alkaline phosphatase increased
C0852913,Blood amylase increased
C0600228,Cardiopulmonary Arrest
C0035243,Respiratory Tract Infections
C1291077,Abdominal bloating
C1291078,Epigastric discomfort
C0151740,Intracranial Hypertension
C0151746,Kidney function abnormal
C0151744,Myocardial Ischemia
C0013298,Duodenitis
C0029442,Osteomalacia
C0029443,Osteomyelitis
C0029445,Bone necrosis
C0003635,Apraxias
C0006285,Bronchopneumonia
C0006846,Cutaneous Candidiasis
C0151691,High density lipoprotein decreased
C0151692,Impaired healing
C0151694,Hemorrhage of colon
C1325847,Sensitisation
C0235347,Black hairy tongue
C2242583,Acute liver injury
C0007642,Cellulitis
C0876994,Cardiotoxicity
C0007398,Catatonia
C0006266,Bronchial Spasm
C0427008,Stiffness
C0011053,Deafness
C0040409,Tongue Diseases
C0029191,Orchitis
C0151541,Capillary fragility increased
C0520893,Localized desquamation
C0520459,"Enterocolitis, Necrotizing"
C0858899,Attention concentration difficulty
C0149922,Lichen Simplex Chronicus
C0855217,Lack of spontaneous speech
C0014547,"Epilepsies, Partial"
C0041105,Trismus
C0027092,Myopia
C0235165,Mania acute
C0344320,Vivid dreams
C0235168,Nervous tremulousness
C0235169,Excitability
C0242362,"Disk, Herniated"
C2363722,Steroid psychosis
C0034074,Pulmonary Infarction
C0151754,Lactic dehydrogenase activity increased
C0034040,Puerperal Disorders
C0424448,Mask-like facies
C0149725,Lower respiratory tract infection
C0278008,Change of bowel habit
C0031542,Phlebitis
C0392185,Verbal repetition
C0085641,Pustular rash
C0233697,Obsessions
C0750197,Sustained ventricular tachycardia
C0029261,Orgasmic Disorder
C0343863,Genital candidiasis
C0020175,Hunger
C0234369,Trembling
C0235763,Psoriasis flare-up
C0235761,Perforation of nasal septum
C0162565,Acute intermittent porphyria
C0541820,Carbohydrate tolerance decreased
C0235834,Upper motor neurone lesion
C0851353,Blood and lymphatic system disorders
C0860703,Serum total protein decreased
C0851354,Ear and labyrinth disorders
C0030305,Pancreatitis
C0876973,Lung infection
C0876975,Pruritus NEC
C0442886,Secondary Infections
C0027697,Nephritis
C0000731,Abdomen distended
C0000737,Abdominal Pain
C0270736,Essential Tremor
C0004610,Bacteremia
C0429097,QRS complex
C0036689,Pharyngitis streptococcal
C0036337,Schizoaffective Disorder
C0853891,Tumour flare
C0235901,Lacrimation abnormal
C0152009,WBC abnormal
C0039520,Tenosynovitis
C0877237,Traumatic fracture
C0549249,Depressed Level of Consciousness
C1868709,Activation syndrome
C0041912,Upper Respiratory Infections
C1956089,Osteophyte
C0155067,Corneal ulcer marginal
C0392162,Clammy skin
C0392163,Corneal erosion
C0015371,Extrapyramidal Disorders
C0234987,Dizziness postural
C0015376,Extravasation
C0242979,Muscle Fatigue
C0240182,Leukonychia
C0036202,Sarcoidosis
C0001396,Adams-Stokes Syndrome
C0522178,Self-injurious ideation
C0522179,Fear of death
C0438235,Liver function test normal
C0242225,Color blindness
C0042029,Urinary tract infection
C0277890,Decreased diastolic arterial pressure
C0038325,Stevens-Johnson Syndrome
C0026857,Musculoskeletal Diseases
C0042024,Urinary Incontinence
C0042023,Increased frequency of micturition
C0541799,Bad taste
C0541798,Early Awakening
C0005741,Blepharitis
C0024121,Lung Neoplasms
C0005747,Blepharospasm
C0577559,Mass of body structure
C0013687,Effusion
C0018188,Granuloma
C0021845,Intestinal Perforation
C0021843,Intestinal Obstruction
C0236024,Pharyngeal oedema
C0234930,Skin odour abnormal
C2607914,Allergic rhinitis (disorder)
C0236023,Periodontal destruction
C3248383,Logorrhoea
C0232744,Function liver decreased
C0263540,Onychomadesis
C0036117,Salmonella infections
C0577730,Family stress
C0205204,Scab
C0853879,Invasive Breast Carcinoma
C1519353,Skin Papule
C0877167,Psychomotor skills impaired
C0008049,Chickenpox
C0151723,Hypomagnesaemia
C0022548,Keloid
C0858603,Wave slowing
C0022893,Labyrinthitis
C0022890,Labyrinthine disorder
C0858357,Oesophageal stenosis acquired
C1565662,Acute Kidney Insufficiency
C0936223,Prostate cancer metastatic
C1140680,Malignant neoplasm of ovary
C0518988,Tooth abscess
C0178829,Reproductive system disorder
C0026650,Movement Disorders
C0409974,Lupus Erythematosus
C0877792,"Sleep Disorders, Circadian Rhythm"
C0234967,Choreoathetoid movements
C0522351,Positional Vertigo
C0032231,Pleurisy
C0032541,Polyneuritis
C0334246,Metastatic squamous cell carcinoma
C0038814,Sunburn
C0262431,Spinal compression fracture
C0151598,Drug level decreased
C0151599,Drug level increased
C0028850,Ocular Motility Disorders
C0151596,Tongue discolouration
C0151594,Diarrhoea haemorrhagic
C0455204,Homicidal ideation
C0002390,Extrinsic allergic alveolitis
C0085624,Burning sensation
C0002395,Alzheimer's Disease
C0011848,Diabetes Insipidus
C1760428,Suicidal behaviour
C0009421,Comatose
C0017672,Glossalgia
C0151629,Fixed eruption
C0151911,Generalized Spasms
C0013537,Eclampsia
C0035309,Retinal Diseases
C0877225,Bone density decreased
C0231218,Malaise
C0151779,Cutaneous Melanoma
C0151775,Injection site mass
C0151772,Manic psychosis
C0151773,Bone marrow depression
C0029453,Osteopenia
C0854467,Myelosuppression
C0029456,Osteoporosis
C1269683,Major Depressive Disorder
C0030807,Pemphigus
C0241060,Cyst of skin
C0030805,Bullous pemphigoid
C0023418,Leukemia
C0235353,Tooth caries aggravated
C0235351,Ulcer on tongue
C0919924,Pulmonary toxicity
C0009088,Cluster Headache
C2225524,Macromastia
C0031046,Pericarditis
C0159321,Facial bones fracture
C0007384,Cataplexy
C0030794,Pelvic Pain
C0020542,Pulmonary Hypertension
C0012797,Diuresis
C0016034,Breast Fibrocystic Disease
C0020546,Hypertensive crisis
C0040479,Torsades de Pointes
C0020545,"Hypertension, Renovascular"
C0392171,Influenza-like symptoms
C0003044,Animal bite
C0393760,Initial insomnia
C0027066,Myoclonus
C0006384,Bundle-Branch Block
C0149931,Migraine Disorders
C0520463,Chronic active hepatitis
C0751901,"Tic, Vocal"
C0751900,"Tic, Motor"
C1696943,Hypoaesthesia facial
C0332575,Redness
C0016927,Gagging
C0034065,Pulmonary Embolism
C2363731,Oropharyngeal pain
C0860661,Oppositional
C1740801,Exaggerated startle response
C1145670,Respiratory Failure
C0221392,Atrophic Vaginitis
C0392197,Physiologic warmth
C0149732,Muscle rupture
C0029077,"Ophthalmia, Sympathetic"
C0085655,Polymyositis
C0264907,Mobitz type I incomplete atrioventricular block
C0221150,Odynophagia
C0423791,Rash maculo-papular
C0221155,Systolic hypertension
C0423798,Increased tendency to bruise
C0233514,Abnormal behavior
C0423006,Discharge from eye
C0853084,High density lipoprotein increased
C0558919,Stress at work
C0235774,Somnolence neonatal
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
C0160390,Liver injury
C0235827,Therapeutic response decreased
C0234428,Consciousness abnormal
C0027849,Neuroleptic Malignant Syndrome
C0423773,Skin scaly
C0036439,"Scoliosis, unspecified"
C0039446,Telangiectasis
C0542351,Battery (assault)
C2129214,Loose stool
C2945586,Bladder irritability
C0278701,Gastric Adenocarcinoma
C0021141,Inappropriate ADH Syndrome
C1442903,Exostoses
C0221714,Injection site infection
C0406479,Steroid acne
C0521839,Influenza like illness
C0235919,Nerve root lesion
C0424091,Decreased interest
C0004601,Back Injuries
C0041834,Erythema
C0699744,Infection of ear
C0004604,Back Pain
C0428196,Bicarbonate level
C1321905,Minimal Brain Dysfunction
C1956415,Paroxysmal nocturnal dyspnea
C0030201,"Pain, Postoperative"
C0027819,Neuroblastoma
C0580493,Serum albumin low result
C0004936,Mental disorders
C0549475,Lipase increased
C0877221,Decreased erythroid precursor production
C0020039,Hostility
C0574960,Sacroiliitis
C0392176,Gastric irritation
C0015300,Exophthalmos
C0002940,Aneurysm
C0001546,Adjustment Disorders
C0281963,Red cell aplasia
C0404521,Infective vaginitis
C0010034,Corneal Diseases
C0025287,Meningism
C0025281,Meniere Disease
C0349506,Photosensitivity of skin
C0025289,Meningitis
C0242172,Pelvic Inflammatory Disease
C0042345,Varicosity
C0152459,Linear atrophy
C0036690,Septicemia
C0877359,Raised liver function tests
C0024137,"Lupus Erythematosus, Cutaneous"
C0025517,Metabolic Diseases
C0019917,Hordeolum
C0085136,Central Nervous System Neoplasms
C0587246,Limb paresis
C0948216,Ovarian adenocarcinoma
C0036104,Secretion of saliva
C0311220,Lymphocytoma cutis
C0156369,Uterine Polyp
C0042164,Uveitis
C0555724,On examination - dry lips
C0042167,"Uveitis, Posterior"
C0520878,Electrocardiogram PR shortened
C0747979,Increased prolactin level
C0033046,Premenstrual syndrome
C0853644,Eosinophil count abnormal
C0019825,Hoarseness
C0162533,"Porphyrias, Hepatic"
C0019048,Hemoglobinuria
C1260880,Rhinorrhea
C0028734,Nocturia
C1168401,Squamous cell carcinoma of the head and neck
C0018081,Gonorrhea
C0028738,Nystagmus
C0013781,Shock from electric current
C0231686,"Gait, Unsteady"
C1456865,Ureteral Calculi
C0847631,Dry scalp
C2937358,Cerebral Hemorrhage
C0263449,Perioral Dermatitis
C0022081,Iritis
C2937350,Abnormal ejaculation
C2973529,Leukocytoclastic vasculitis
C0015726,Fear (Mental Process)
C0042769,Virus Diseases
C0232487,Abdominal discomfort
C3495917,Advanced breast cancer
C0151588,Transitory deafness
C0240211,Lip swelling
C0032064,Plague
C0151586,Partial permanent deafness
C0151580,Crystalluria calcium
C3160887,Node-positive breast cancer
C3160889,Node-negative breast cancer
C3160888,Metastatic gastric adenocarcinoma
C0151908,Dry skin
C0847033,Allergic oedema
C0041582,Ulcer
C0235218,Skin warm
C0151905,Alanine aminotransferase increased
C0027609,Neonatal Abstinence Syndrome
C0151907,Discoloration of skin
C0238111,Lennox-Gastaut syndrome
C0035317,Retinal Hemorrhage
C0948011,Cervix haemorrhage uterine
C0040485,Torticollis
C0852932,Arthropod sting
C0003834,Arterial insufficiency
C0030528,Paratyphoid Fever
C0151763,Liver damage
C0729552,Genital infection
C0151765,Liver fatty deposition
C0184567,Acute onset pain
C0151766,Liver function tests abnormal finding
C1112209,Intraabdominal Infections
C0268000,Fluid retention
C1142034,Tandem gait test abnormal
C0042907,Vitreous Detachment
C0029464,Osteosclerosis
C0003615,Appendicitis
C0162835,Hypopigmentation disorder
C0039338,Taste Disorders
C1258215,Ileus
C0260662,Hearing problem
C0031039,Pericardial effusion
C0235369,Hepatitis granulomatous
C0869523,Carditis
C0011071,Sudden death
C0919591,Urogenital haemorrhage
C0848377,Trauma to the abdomen
C0030781,Peliosis Hepatis
C0020555,Hypertrichosis
C0020557,Hypertriglyceridemia
C0020550,Hyperthyroidism
C0242292,McCune-Albright Syndrome
C0029882,Otitis Media
C0040147,Thyroiditis
C0040460,Toothache
C0235146,Euphoric mood
C0271240,Blindness of one eye (disorder)
C0280100,Solid tumour
C0271710,Reactive hypoglycemia
C0240671,Partial thromboplastin time increased (finding)
C0036416,Scleritis
C0006663,Calcinosis
C0040997,Trigeminal Neuralgia
C0007820,Cerebrovascular Disorders
C0699828,Serotonin Syndrome
C0030567,Parkinson Disease
C1112573,Delayed orgasm
C0007286,Carpal Tunnel Syndrome
C0151757,Lenticular pigmentation
C0149707,Hemospermia
C0854097,Hypoesthesia eye
C0333291,Ulcer haemorrhage
C0085669,Acute leukemia
C0919661,Heart alternation
C0085660,Aseptic necrosis
C0085661,Onycholysis
C0233523,Antisocial behavior
C0151818,Opisthotonus
C0040517,Gilles de la Tourette syndrome
C1262036,Ocular toxicity
C1369037,FInding of estrangement
C0020488,Hypernatremia
C0155866,Inhalational anthrax
C0497156,Lymphadenopathy
C0155862,Streptococcal pneumonia
C0267596,Rectal hemorrhage
C0026986,Dysmyelopoietic Syndromes
C0011253,Delusions
C0019559,Coxalgia
C0221706,Traffic accident on public road
C0234238,Ache
C0234233,Sore to touch
C0155919,Acute pulmonary oedema
C0860654,Reduced interest in usual activities
C0015468,Facial Pain
C1608954,Infusion site extravasation
C0340865,Anaphylactoid reaction
C0235969,Ejaculation disorder
C0701810,Long-term memory loss
C0235966,Dreaming excessive
C0019693,HIV Infections
C0702266,Basophilia
C0920063,Uric acid high
C0038013,Ankylosing spondylitis
C0025218,Chloasma
C0549264,Sensation of blood flow
C0008449,Chondrodystrophy
C0743668,Limb injury
C0857751,Erythema multiforme minor
C0024419,Waldenstrom Macroglobulinemia
C0392386,Decreased platelet count
C0162532,Variegate Porphyria
C0024031,Low Back Pain
C0034735,Raynaud Phenomenon
C0859023,Talkativeness
C0155003,"Blindness, Transient"
C0233651,Perseveration
C1141893,Muscle enzyme increased
C0424790,Rigor - Temperature-associated observation
C0001577,Adnexitis
C3495440,Break-through bleeding (finding)
C0025290,Aseptic Meningitis
C0042594,Vestibular Diseases
C0856081,Restlessness aggravated
C0277889,Blood pressure diastolic increased
C0019214,Hepatosplenomegaly
C0152115,Lingual-Facial-Buccal Dyskinesia
C0578687,Sore eye
C0857353,Hypotensive
C0155713,Papillary muscle rupture
C0277885,Blood pressure systolic decreased
C0277884,Blood pressure systolic increased
C0025500,Mesothelioma
C0015408,Eye Injuries
C0014130,Endocrine System Diseases
C0151885,Reaction aggravation
C0015403,Eye Infections
C0015402,Eye Hemorrhage
C0042571,Vertigo
C0234894,Dermatitis acneiform
C0040264,Tinnitus
C0236000,Jaw pain
C0237849,Peeling of skin
C0349208,Manic episode
C0019079,Hemoptysis
C0014553,Absence Epilepsy
C0014550,"Epilepsies, Myoclonic"
C0520886,ST segment elevation (finding)
C0520888,Inverted T wave
C0025345,Menstruation Disturbances
C0018099,Gout
C1861172,Venous Thromboembolism
C0022346,Icterus
C1260899,"Anemia, Diamond-Blackfan"
C0003537,Aphasia
C0860700,Prothrombin level abnormal
C0687713,Gastrointestinal pain
C0152936,"Plague, Septicemic"
C0428886,Mean blood pressure
C0853692,Blood triglycerides increased
C0853697,Neutrophil count decreased
C0239340,Edema of lower extremities
C0152169,Renal Colic
C0232498,Abdominal tenderness
C0232495,Abdominal pain lower
C0262988,Cutaneous vasculitis
C0232492,Abdominal pain upper
C0151571,Corneal lesion
C0039231,Tachycardia
C0151574,Cough decreased
C0151576,Creatine phosphokinase increased
C0151577,Creatinine renal clearance decreased
C0151578,Creatinine increased
C0151579,Crystalluria
C0039239,Sinus Tachycardia
C0231441,Immobile
C0346156,Benign neoplasm of breast
C0032584,Polyps
C0521591,Paraesthesia oral
C0521592,Hypoaesthesia oral
C0040046,Thrombophlebitis
C0231274,Intolerant of heat
C0001627,Congenital adrenal hyperplasia
C1384494,Metastatic Carcinoma
C0151970,Ulcer of esophagus
C0001623,Adrenal gland hypofunction
C0547030,Visual disturbance
C0338831,Manic
C0151714,Hypermagnesemia
C0151717,Skin hypertrophy
C0031154,Peritonitis
C0035457,"Rhinitis, Allergic, Perennial"
C0035455,Rhinitis
C0151718,Hypocholesterolemia
C0151480,Antinuclear antibody positive
C0302295,Eruptions
C0235378,Hepatotoxicity
C0271650,Impaired glucose tolerance
C0029877,Ear Inflammation
C0231303,Distress
C0035078,Kidney Failure
C1527358,Phototoxicity
C0029878,Otitis Externa
C0002886,"Anemia, Macrocytic"
C0542203,Water retention (finding)
C0333355,Mucositis
C0409497,Joint injury
C0235013,Hypervigilance
C0151622,Endometrial disorder
C0151625,Enzyme abnormality
C0151626,Necrolysis epidermal
C0085702,Monocytosis
C0085096,Peripheral Vascular Diseases
C0012691,Dislocations
C0242350,Erectile dysfunction
C0026884,Mutism
C0009376,Colonic Polyps
C1458140,Bleeding tendency
C0031572,"Phobia, Social"
C0085679,Hyperchloraemia
C0035854,Rosacea
C0158350,Tendinous contracture
C1262006,Sinusitis bacterial
C0221170,Muscular stiffness
C0025162,"Megacolon, Toxic"
C0858970,Carcinogenicity
C0740394,Hyperuricemia
C0011882,Diabetic Neuropathies
C0011881,Diabetic Nephropathy
C0011880,Diabetic Ketoacidosis
C1112369,Paranasal sinus hypersecretion
C0034186,Pyelonephritis
C0751495,"Seizures, Focal"
C0751494,Convulsive Seizures
C0027822,Neurodermatitis
C0020507,Hyperplasia
C0030353,Papilledema
C0026896,Myasthenia Gravis
C0497364,Localized rash
C0497365,Rash generalised
C0231246,Failure to gain weight
C0340279,Ventricular hypertrophy
C0542571,Facial edema
C0030193,Pain
C0233794,Memory impairment
C0030196,Pain in limb
C0025874,Metrorrhagia
C0580531,White blood cell count abnormal
C0041327,"Tuberculosis, Pulmonary"
C1504494,Tingling of extremity
C0221776,Oral pain
C0002171,Alopecia Areata
C0020580,Hypesthesia
C0008350,Cholelithiasis
C0850149,Dry cough
C0036346,"Schizophrenia, Childhood"
C0858635,Pharyngolaryngeal pain
C0036341,Schizophrenia
C0333641,Atrophic
C0037290,Skin Pigmentation
C0549297,Auricular swelling
C0010200,Coughing
C0857501,Acute schizophrenia
C0162429,Malnutrition
C0877203,Respiratory tract infection viral
C0019112,Hemorrhoids
C0021053,Immune System Diseases
C0549453,Traumatic haematoma
C0004134,Ataxia
C0392156,Akathisia
C0860864,Albumin low
C0004245,Atrioventricular Block
C0860866,Potassium low
C0001364,Massive Hepatic Necrosis
C0424740,Cold hands
C0424741,Cold feet
C0019209,Hepatomegaly
C0016382,Flushing
C0022408,Arthropathy
C0155709,Atrial fibrillation and flutter
C0024115,Lung diseases
C0024117,Chronic Obstructive Airway Disease
C0025193,Melancholia
C0004623,Bacterial Infections
C0012813,Diverticulitis
C0152128,Drug withdrawal syndrome
C0043096,Body Weight decreased
C0027441,Nasopharyngitis
C0040053,Thrombosis
C0022568,Keratitis
C0853193,Bipolar I disorder
C0863093,Cold symptoms
C0522035,Upper limb oedema
C0004691,Balanoposthitis
C0236018,Aura
C0022578,Keratoconus
C0019065,Hemoperitoneum
C0022573,Keratoconjunctivitis
C0022575,Keratoconjunctivitis Sicca
C0877153,Neutropenic sepsis
C0018794,Heart Block
C0014544,Epilepsy
C1510497,Lens Opacities
C0018790,Cardiac Arrest
C0014236,Endophthalmitis
C0014549,Tonic-Clonic Epilepsy
C0018799,Heart Diseases
C0038999,Swelling
C0022354,"Jaundice, Obstructive"
C0038990,Sweating
C1609512,Vulvovaginal mycotic infection
C0853336,Corneal infiltrates
C1510472,Drug Dependence
C2267227,Bulimia Nervosa
C1153706,Endometrial adenocarcinoma
C0013491,Ecchymosis
C0700031,Anxiety attack
C0234933,Erythema multiforme severe
C0232461,Increased appetite (finding)
C0232462,Decrease in appetite
C0853813,Local reaction
C0014431,Enzyme Induction
C0277589,Found dead (cause undetermined)
C0038525,Subarachnoid Hemorrhage
C0520679,"Sleep Apnea, Obstructive"
C0151564,Cogwheel Rigidity
C0520676,Premenstrual dysphoric disorder
C0741494,Bilirubin total increased
C0002453,Amenorrhea
C0006852,Candidiasis of vagina
C0033845,Pseudotumor Cerebri
C0033844,Pseudotumor
C0040034,Thrombocytopenia
C0151767,Liver tenderness
C0040038,Thromboembolism
C0032463,Polycythemia Vera
C0032461,Polycythemia
C1142239,Call-Fleming syndrome
C0232208,Atrioventricular junctional rhythm
C0003850,Arteriosclerosis
C3665444,Neutrophilia (disorder)
C0029408,Degenerative polyarthritis
C0151702,Muscle hemorrhage
C0151701,Pulmonary hemorrhage
C0475858,Pruritus generalised
C1142011,Orchitis noninfective
C0042963,Vomiting
C0018939,Hematological Disease
C0018932,Hematochezia
C0235097,Withdrawal seizures
C2363980,Cross resistance
C0235309,Upset stomach
C0423757,Skin thinness
C0347390,Skin Papilloma
C1527344,Dysphonia
C0035067,Renal Artery Stenosis
C0220981,Metabolic acidosis
C0220982,Ketoacidosis
C0220983,Metabolic alkalosis
C0024236,Lymphedema
C0700345,"Candidiasis, Vulvovaginal"
C0151639,Fertility female decreased
C0235522,Vein disorder
C0016579,Formication
C0151632,Red blood cell sedimentation rate increased
C0034882,Rectal Diseases
C0151636,Premature ventricular contractions
C0034880,Hyperacusis
C0027059,Myocarditis
C0003079,Anisocoria
C0151436,"Vasculitis, Leukocytoclastic, Cutaneous"
C0017551,Gilbert Disease (disorder)
C0027051,Myocardial Infarction
C0271738,Secondary adrenocortical insufficiency
C0241705,Difficulty passing urine
C1142492,Postinfarction angina
C0234144,Dysgraphia
C0235416,Blood uric acid increased
C0235639,Urine abnormality
C1458155,Mammary Neoplasms
C0302809,Hepatitis fulminant
C0542101,Nasal burning
C0006826,Malignant Neoplasms
C0270996,Eye swelling
C0270994,Steroid myopathy
C3257803,Watery eyes
C0085605,Liver Failure
C0085606,Urgency of micturition
C0085602,Polydipsia
C1262013,Recall phenomenon
C0392702,Abnormal involuntary movements
C0221166,Paraparesis
C0007193,"Cardiomyopathy, Dilated"
C0007194,Hypertrophic Cardiomyopathy
C0855329,Electrocardiogram change
C1167791,Skin toxicity
C0241633,Vaginal dryness
C0149871,Deep Vein Thrombosis
C0037195,Sinus headache
C0860745,Blood monocytes increased
C0037199,Sinusitis
C0236788,Bipolar II disorder
C0234458,Abnormal dreams
C0242656,Disease Progression
C0751265,Learning Disabilities
C0034150,Purpura
C0034152,Henoch-Schoenlein Purpura
C0016204,Flatulence
C0034155,"Purpura, Thrombotic Thrombocytopenic"
C1261473,Sarcoma
C0029132,Disorder of the optic nerve
C0029134,Optic Neuritis
C0041318,"Tuberculosis, Meningeal"
C0234215,Sensory Discomfort
C0020598,Hypocalcemia
C0233494,Tension
C0004093,Asthenia
C0004096,Asthma
C0037287,Skin nodule
C0004095,Asthenopia
C0036572,Seizures
C0030232,Pallor
C0333650,Adipose Tissue Atrophy
C0920163,Idiopathic thrombocytopenia
C0549447,Urine odour foul
C0041956,Ureteral obstruction
C0221345,Nail discoloration
C0036974,Shock
C0007773,Cerebral arteritis
C0010692,Cystitis
C0036973,Shivering
C0267158,Reflux gastritis
C1302752,Abrasion
C0016412,Folic Acid Deficiency
C0038367,Ulcerative stomatitis
C0038363,Aphthous Stomatitis
C0038362,Stomatitis
C0033775,Pruritus Ani
C0235896,Lung infiltration
C0235890,Migraine aggravated
C0235893,Allergy aggravated
C0086132,Depressive Symptoms
C0042373,Vascular Diseases
C0427144,Toe walking
C0019270,Hernia
C0033777,Pruritus genital
C0042376,Vascular Headaches
C2240374,Eosinophil count raised (finding)
C0021400,Influenza
C1318520,Vasculitis necrotising
C0008370,Cholestasis
C0239295,Oesophageal candidiasis
C0677500,Stinging Sensation
C0233844,Clumsiness
C0036396,Sciatica
C0018784,Sensorineural Hearing Loss (disorder)
C0021313,Infection of kidney
C0039584,Testicular Diseases
C0376297,Cardiac Death
C0038986,Sweat Gland Diseases
